이름,경도,위도
이사프커피스탠드,127.4872673,36.63866813
카페벨보스코,127.5625243,36.69614342
투썸플레이스모충로점,127.4700274,36.62613961
소소하네,127.5004879,36.6651785
이디야커피청주여고점,127.491577,36.66932473
씨스타1407,127.4855686,36.60850523
네츄럴팍,127.3281106,36.62637163
선다실,127.4863601,36.63130962
카페목간,127.4875356,36.63865802
디저트39한국교원대점,127.3559404,36.61727138
브루업커피,127.4668287,36.64075949
에이디뮤직엔터테이먼트,127.4621208,36.64446346
설탕수다,127.4459073,36.61167903
쎄븐씨드,127.4318338,36.58348025
메가엠지씨커피청주옥산,127.3891038,36.6765702
쎄주드베베,127.4550251,36.61871845
어테일,127.423109,36.61042848
카페뮤렌,127.448068,36.664396
그리다꿈오창,127.4277195,36.71248262
유다락,127.5015665,36.62797547
츄로빌스,127.4847191,36.62279162
메가엠지씨커피청주동남지구점,127.5177614,36.61719177
커피베이청주북부터미널,127.4273016,36.71179026
이디야커피청주가로수,127.4321644,36.62272348
게리어,127.4811521,36.65144393
칠리노무인카페청주,127.319467,36.6232862
이디야커피상당로점,127.4904621,36.63816841
푼크툼커피로스터스,127.4726114,36.61723522
모제르,127.4364083,36.63188153
숙카페,127.4410959,36.71078476
방앝간,127.4911678,36.65773796
커슐랭영동점,127.4866554,36.63737301
바바라코코오리지널,127.5006231,36.67223372
모짜르트하우스,127.500015,36.51745751
콥프키노,127.4148743,36.61729704
대장간이야기,127.5114709,36.54820099
달시쓰,127.473227,36.630164
메릴본케이크,127.4880438,36.63768272
프라빈커피오창과학단지점,127.4228103,36.70712949
인피오레,127.4857772,36.60612539
아이커피유24모충점,127.4804107,36.6292972
카페별담청주흥덕시니어클럽,127.4421464,36.6342664
파스쿠찌청주엘지로DT점,127.4352085,36.659091
블루포스트맨로스터스,127.5113666,36.62216659
프롬버터,127.4901348,36.64121557
카페프리헷청주가마점,127.4698302,36.5991785
플넛,127.5042955,36.61441096
오지즈,127.3421539,36.63676726
더리터남문로점,127.4904968,36.63304986
갤러리카페백십일,127.4779342,36.5903512
슬러핑,127.434588,36.62828366
카페정다운샌드위치,127.4593592,36.63512944
컴포즈커피청주성안길점,127.4892352,36.63510962
제이델링청주점,127.487878,36.63798077
빽다방서원대점,127.482482,36.62259344
비피무인카페,127.4873819,36.60358665
그리프커피,127.486153,36.63394176
카페로코앤라뷰,127.5629842,36.60873235
차케바라커피혁명,127.4839873,36.6577223
더리틀즈청주점,127.4788152,36.66957497
쉬즈베이글사창점,127.4629222,36.63075418
패스트카페오창낭만점,127.4536665,36.73773496
천천히공방카페,127.5025085,36.63359455
카페디작,127.4771878,36.66868939
카페45st,127.5000687,36.62802683
크레이저커피운동동점,127.5139182,36.60067265
아쥴,127.6574103,36.63774258
복사꽃피는집청주점,127.5107294,36.66451324
타타스베이글청주,127.4669029,36.61229249
메가엠지씨커피청주여고점,127.4882276,36.66857255
연구단지111번,127.4337244,36.72347256
로그로우,127.4301953,36.62043272
카미나르137,127.4958992,36.67697536
어웨이브커피로스터스,127.4447019,36.61198992
점선에스프레소바,127.4292743,36.62571668
달다람쥐의또르뜨,127.4953675,36.66558739
그로우빈,127.439834,36.61101674
해적카페&와플그래서원대점,127.4815197,36.62246216
정스다방,127.5031939,36.62378737
운리단선셋,127.4759376,36.64549942
진크30,127.4922237,36.63912535
세인트브릭스,127.465618,36.63653793
포레스트커피앤갤러리,127.4480766,36.61180606
몽글로바,127.3188328,36.62132342
프레쉬톡,127.4610873,36.64179111
베러먼데이청주가로수,127.4285465,36.62146596
퀸스플라워카페,127.434111,36.61899473
바바르디,127.4969801,36.67108653
쉐르엘제이,127.4755776,36.64514942
멜팅타임,127.4953675,36.66558739
투썸플레이스청주방서메디컬,127.5046484,36.59822514
카페량청주,127.4161024,36.71052331
파스쿠찌청주테크노폴리스,127.4522905,36.66534425
블루체어라운지,127.4586003,36.60139398
바바르디,127.4530695,36.73713349
코코넛트리브런치카페,127.4236493,36.62746699
메가엠지씨커피청주모충점,127.4830511,36.62780867
카페에빅,127.423773,36.60718203
카페코지웨어하우스,127.4360387,36.69919697
앤스에비뉴,127.4356424,36.7241504
소노손손,127.4921851,36.61898528
달콤한힐링,127.4414891,36.6268345
오리덕후밥카페,127.3660214,36.73489189
빽다방청주강서점,127.4289578,36.62508703
봉명동내커피오송점,127.3216955,36.62151398
메가엠지씨커피청주가경,127.4289835,36.61762556
뚭,127.4994807,36.68067301
바이세로스터스,127.4655954,36.6439453
아드리비툼,127.5226259,36.61082658
에임즈커피로스터스,127.4564101,36.63368995
포라트카페,127.4584037,36.65690436
주니스커피,127.4835652,36.63314127
이디야커피서원대점,127.4809596,36.62226617
빽다방청주방서점,127.5009901,36.60110618
아덴블랑제리청주,127.5207419,36.61489893
마음무늬,127.4759376,36.64549942
위티프렌즈,127.4874181,36.63953259
고망고청주,127.4969616,36.67169036
개프탑라운지,127.4952808,36.64331193
인어빗,127.4877862,36.64824499
히게당,127.4748557,36.64596331
이디아성화중앙지점,127.4494605,36.61721666
김준호의대단한커피청주효촌점,127.5082496,36.58670235
프랭크커핀바청주모충점,127.4815489,36.62894117
오별커피,127.4413793,36.63111528
썬셋510,127.3537289,36.61766546
카페푸르댕댕,127.4075764,36.58999978
정스토어,127.484433,36.61816097
소왓커피,127.4897071,36.63547714
아덴블랑제리청주,127.496953,36.6720959
투썸플레이스청주주성점,127.4998083,36.67424664
비토커피로스터스,127.4904192,36.64022316
쿼드커피복대어울림점,127.4351874,36.63943747
로로디,127.4865831,36.6383285
디저트39율량주성점,127.4990433,36.67012271
테이큰카페충북대,127.4571145,36.63179488
우암산다방,127.4939184,36.63660419
쿼드커피청주주성점,127.4975499,36.67097601
성북동커피앤디저트,127.4237016,36.63907337
카페제이브,127.4320262,36.62800462
콤피플레이스,127.4696545,36.61259707
바나타이거청주성화점,127.4555916,36.61811253
컴포즈커피청주세중,127.4371057,36.64252132
란테Lante,127.4600601,36.45925974
안녕;봄날커피,127.5097455,36.61705512
카페추학리361,127.5463614,36.76817242
오늘이시간지금,127.4767703,36.63544852
트리플에이청주오송점,127.3177288,36.61927178
서서희,127.4257956,36.62539574
페로어페로청주점,127.490272,36.60462011
카페_돌피,127.4684014,36.6087001
투썸플레이스청주대,127.4893257,36.64941915
빽다방청주율량9단지점,127.5105645,36.65986415
초분시,127.4219114,36.64091803
카페코지오송점,127.3287581,36.63140719
에낭청주점,127.4904594,36.63421247
카페오71,127.4913669,36.65738571
이디야커피청주강내점,127.3640168,36.62317645
고더커피청주오창,127.4286871,36.71137077
노커피노라이프,127.4914646,36.64108393
레알커피,127.469841,36.60280102
덜싯커피,127.4655079,36.63869206
더벤티청주동남지구점,127.5188372,36.6159165
루프독바베큐,127.4881753,36.6248411
메가엠지씨커피청주용암2동점,127.5083968,36.60742779
디그니티커피웍스,127.4842762,36.65205305
커피에반하다오창양청점,127.4352295,36.72436818
준카페JunCafe,127.4267198,36.64296449
화이트아웃인투더그린,127.4852661,36.67079241
커피봇청주모충점,127.4726213,36.6261744
베를랭고,127.4887309,36.65793723
쿼드커피청주성화점,127.4513918,36.61486641
나이스업커피,127.4767222,36.60949615
브리드커피한국교원대점,127.3573289,36.60566059
카페하늘사다리,127.4626705,36.63915368
이디야커피충북오송점,127.3302071,36.63034885
컴포즈커피서원대점,127.4817416,36.62218191
파스쿠찌서청주DT점,127.4229211,36.63947264
이디야커피오창2산업단지점,127.4510847,36.73277062
슬로우베로,127.5093375,36.60940626
카페스테이인터뷰르투어,127.5105119,36.64343687
해호미,127.4816595,36.63594249
밀크브로,127.4142419,36.71212478
커피쿡청주내덕점,127.4814925,36.65582203
메가후르츠청주,127.4646569,36.61055307
모허커피하우스,127.4558239,36.6480652
커피연,127.5011072,36.61402791
파스쿠찌청주서원대점,127.485208,36.62232104
와플대학충북오창캠퍼스,127.4277588,36.71149125
커피에꽃이다,127.5069582,36.66084376
투썸플레이스청주율량좋은점,127.4980555,36.66438669
리터킹청주점,127.4609928,36.63157267
91플랜우암점,127.4836936,36.65547068
카페콩가온숲,127.4903657,36.64235905
플린더스,127.4223633,36.71747592
카페;후이,127.4366147,36.62486097
마일드내스,127.4769222,36.6092971
디그니티커피쇼룸,127.4850998,36.67103639
제이슨빵집,127.4276883,36.64014949
세이브더데이트,127.5176165,36.60554979
차콩,127.4905402,36.62931901
카페파숑,127.4905923,36.6445839
돌체푸르토,127.4298159,36.638682
마일로에스프레소바,127.4738007,36.64350744
땡큐베리머치성안길점,127.4885296,36.6366985
여기에;봄,127.4763837,36.63622503
감성커피청주테크노지웰점,127.4567972,36.67084193
앤아버터,127.4685503,36.63330941
오치브,127.5090184,36.69004032
둥둥디저트공방,127.4214034,36.7159294
수니네과자점,127.5170042,36.60590389
크랍치케이크,127.4285181,36.63452345
카페;펄팜,127.4999954,36.63225343
알니스커피,127.4872394,36.65731255
레이로스팅팩토리,127.4271482,36.63549258
커피홀용정점,127.5167141,36.62943365
빽다방청주방서호반,127.5077782,36.60172626
나의특별한디저트,127.475853,36.64448149
드론카페팝드론존,127.4768431,36.66721293
사주카페초이스,127.4876854,36.65000259
뵈르뵈르하우스,127.4218714,36.64997452
노기로스터스,127.4907385,36.66057828
컴포즈커피청주오송점,127.3280438,36.63169752
메가엠지씨커피청주풍광초점,127.4372931,36.62820168
미르빈카페,127.4144052,36.70918656
읍천리382청주오송점,127.3178396,36.6217406
로우업커피오송,127.3163071,36.62151939
파지티브노트,127.4603449,36.63354865
플러스82청주강서점,127.4280335,36.62372063
프리랜스커피클럽,127.4872673,36.63866813
부부곳간,127.4257232,36.62645033
큰큰커피청주,127.4320262,36.62800462
포트캔커피청주오송점,127.3181076,36.61894636
일루미다방,127.4962566,36.61936489
컴포즈커피오창1산업단지점,127.4293683,36.70706997
쿼드커피율량현대점,127.4822794,36.6690023
유엔에이치커피랩,127.4497637,36.62901133
요앤디,127.4584727,36.63458316
그래시힐,127.4352726,36.56308396
굴다리다방H.I.P,127.472993,36.65589213
오티디베이크샵,127.3174471,36.62143526
컴포즈커피청주강서점,127.4297385,36.62475079
하티제과,127.4403339,36.63208336
배달카페의정점,127.4306754,36.6303885
미들슬로우현대백화점,127.4265514,36.64486647
우아가든카페,127.4686486,36.61076272
원카페사주엔타로,127.4215499,36.7161001
투썸플레이스청주오송생명과학단지점,127.3296178,36.63111645
요커충북,127.4286136,36.71225413
